RUN,TP,CODE,DYNAMIC PRESSURE,TEMP TS,BALANCE TEMP,PRESS TS,N1,N2,S1,S2,A1,R1,Lift (lbf),Drag (lbf),Pitch (in-lbf),Yaw (in-lbf),Side (lbf),Roll (in-lbf),Length,Flap Angle,FCY/N,DC/SC
1,3,0,45.006895,79.456137,4175.656985,14.512734,-0.000635,0.000447,-0.000658,0.000549,0.028481,-0.000584,0.02756,0.693363,0.255182,0.248638,0.011551,0,4.0,30,N,DC
1,4,0,50.102128,80.78596,4175.717091,14.473539,-0.000795,0.000488,-0.000549,0.000462,0.030426,-0.000651,0.047593,0.740815,0.299591,0.206241,0.007856,0,4.0,30,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.12846,0.15698,-0.075337,0.11672,7.137962,0.006698,-47.759936,173.455654,7.503492,40.836502,-5.884588,0,4.0,30,Y,DC
1,2,0,40.242137,75.812234,4177.415385,14.539804,-0.000767,0.000333,-0.000406,0.000345,0.032504,0.000903,0.068882,0.791694,0.253096,0.153501,0.003756,0,4.0,30,Y,DC
1,3,0,46.09808,78.503331,4177.516315,14.487748,-0.001046,0.000347,-0.000318,0.000353,0.036397,0.001044,0.112353,0.886648,0.318648,0.134833,-0.013371,0,4.0,30,Y,DC
1,4,0,49.990355,79.742671,4177.552229,14.455764,-0.001325,0.000373,-0.000153,0.000278,0.0382,0.001117,0.154437,0.930671,0.386282,0.082163,-0.029037,0,4.0,30,Y,DC
1,1,1,0.0,0.0,0.0,0.0,0.128229,0.157741,-0.074131,0.11617,7.149686,0.006049,-47.844569,173.739868,7.720727,40.459488,-5.982009,0,4.0,30,Y,SC
1,2,0,40.200561,73.126188,4175.759546,14.539876,8.1e-05,-0.000993,-0.000102,7.2e-05,0.02923,0.001154,0.149052,0.713739,-0.265555,0.050679,-0.002894,0,4.0,30,Y,SC
1,3,0,45.47182,76.389596,4175.25751,14.500806,-0.00038,-0.001113,-0.000185,7.9e-05,0.029924,0.001219,0.244556,0.731208,-0.187641,0.067482,0.005627,0,4.0,30,Y,SC
1,4,0,50.325365,76.829327,4175.168216,14.465695,-0.000424,-0.001202,-0.000223,0.000126,0.033125,0.001403,0.26599,0.80936,-0.199124,0.086277,0.002795,0,4.0,30,Y,SC
